Name,Lat Dd,Sec Town,Long Dd,Longitude,Structures,Yr Confirm,Latitude,Status,Aprox Str1,Yr Range1,Aprox Str2,Yr Range2,latitude,longitude
,14.438611,,22.449167,0222657,~25 of ~25,2004/2005,142619.0,DESTROYED,25.0,2004.0,25.0,2005.0,14.4386111115138,22.4491666668084
ESBARA,14.440556,,22.466944,0222801,~100 of ~100,2003/2004,142626.0,DESTROYED,100.0,2003.0,100.0,2004.0,14.4405555554947,22.4669444443308
,13.694167,,22.817778,0224904,,,134139.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.6941666668583,22.8177777779223
,13.699722,,22.805,0224818,,,134159.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.6997222225027,22.8049999998503
DOLEIBA,13.676111,,22.798056,0224753,,,134034.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.676111111239,22.7980555555196
IDD EL KHALA,13.590833,,22.853611,0225113,,,133527.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.5908333334917,22.8536111110641
BIR QIRHAB,13.665,,22.798611,0224755,,,133954.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.6649999999502,22.7986111108142
KAGOLEI,13.631667,,22.759167,0224533,~100,,133754.0,NO DAMAGE,0.0,0.0,100.0,0.0,13.6316666669833,22.7591666669083
,13.644722,,22.763611,0224549,~50,,133841.0,NO DAMAGE,0.0,0.0,50.0,0.0,13.6447222222529,22.7636111110641
JERUF,13.764444,,22.828056,0224941,,,134552.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7644444444557,22.8280555558194
,13.765278,,22.818056,0224905,,,134555.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7652777778474,22.8180555551199
,13.761944,,22.809444,0224834,,,134543.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7619444442809,22.809444444006
KORNI,13.779722,,22.794444,0224740,,,134647.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7797222218032,22.7944444447555
KALAJU,11.944167,,25.698889,0254156,,2006,115639.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.9441666667584,25.6988888885115
ANGABO,11.835,,26.031944,0260155,~1000 of ~1000,2006,115006.0,DESTROYED,1000.0,2006.0,1000.0,2006.0,11.8349999996504,26.0319444445806
KAMIRAH,11.796667,,26.059444,0260334,~50 of ~50,2007,114748.0,DESTROYED,50.0,2007.0,50.0,2007.0,11.7966666663337,26.0594444447055
ABUSHATTA,11.803889,,26.044444,0260240,~10 of ~10,2007,114814.0,DESTROYED,10.0,2007.0,10.0,2007.0,11.8038888887614,26.0444444445556
HILET ASIR,11.8225,,26.058889,0260332,~10 of ~10,,114921.0,DESTROYED,10.0,0.0,10.0,0.0,11.8224999996754,26.0588888885115
HILET BERGO,11.784167,,25.986389,0255911,~25,,114703.0,NO DAMAGE,0.0,0.0,25.0,0.0,11.7841666663587,25.9863888888363
,11.796389,,25.971944,0255819,~5 of ~10,2006,114747.0,DAMAGED,5.0,2006.0,10.0,2006.0,11.7963888891361,25.9719444448804
GARNAYA,11.8075,,26.101944,0260607,~100 of ~100,2007,114827.0,DESTROYED,100.0,2007.0,100.0,2007.0,11.8075000004249,26.101944444081
HILET DOUS,11.822222,,26.106111,0260622,~50 of ~50,2007,114920.0,DESTROYED,50.0,2007.0,50.0,2007.0,11.8222222224778,26.1061111110391
EYAL KORIB,11.818333,,26.093333,0260536,~25 of ~25,2007,114906.0,DESTROYED,25.0,2007.0,25.0,2007.0,11.8183333336166,26.0933333329671
HILET TING,11.807778,,26.079167,0260445,~50 of ~50,2007,114828.0,DESTROYED,50.0,2007.0,50.0,2007.0,11.8077777776225,26.0791666671082
,11.85,,26.136667,0260812,~25 of ~25,2007,115100.0,DESTROYED,25.0,2007.0,25.0,2007.0,11.8499999998003,26.1366666666335
HILET IBRA,11.776111,,26.098889,0260556,~25 of ~25,2007,114634.0,DESTROYED,25.0,2007.0,25.0,2007.0,11.7761111114388,26.0988888886115
,11.701111,,25.803056,0254811,,2004,114204.0,DESTROYED,0.0,2004.0,0.0,2004.0,11.7011111106894,25.8030555552699
,11.727778,,25.752778,0254510,~50 of ~75,2006,114340.0,DESTROYED,50.0,2006.0,75.0,2006.0,11.7277777774227,25.7527777781721
,11.737222,,25.748056,0254453,~75 of ~100,2006,114414.0,DESTROYED,75.0,2006.0,100.0,2006.0,11.7372222219282,25.7480555559193
,11.688333,,25.786111,0254710,~25 of ~25,2004,114118.0,DESTROYED,25.0,2004.0,25.0,2004.0,11.6883333335167,25.786111111139
,11.720833,,25.7975,0254751,~50 of ~50,2004,114315.0,DESTROYED,50.0,2004.0,50.0,2004.0,11.720833333092,25.7974999996255
EL MINGEB,11.518611,,26.208056,0261229,,2007,113107.0,DAMAGED,0.0,2007.0,0.0,2007.0,11.5186111114138,26.2080555557195
,11.545556,,26.238611,0261419,~75 of ~75,,113244.0,DESTROYED,75.0,0.0,75.0,0.0,11.5455555553448,26.2386111113139
,11.554722,,26.221111,0261316,~100 of ~100,,113317.0,DESTROYED,100.0,0.0,100.0,0.0,11.5547222226526,26.2211111109892
,11.543333,,26.191111,0261128,~100,,113236.0,NO DAMAGE,0.0,0.0,100.0,0.0,11.5433333332669,26.1911111106893
FOWAR,11.210278,,25.099722,0250559,,2006,111237.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.2102777780971,25.099722222203
,11.187222,,25.170833,0251015,,2006,111114.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.187222222128,25.1708333331919
SHANGA 1,11.209722,,25.154167,0250915,,2006,111235.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.2097222219032,25.1541666662588
UMM BAZALAT,11.238889,,25.183889,0251102,,2006,111420.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.2388888888113,25.1838888884616
UMM GABASHA,11.285833,,25.1125,0250645,~100 of ~100,2006,111709.0,DESTROYED,100.0,2006.0,100.0,2006.0,11.2858333332419,25.112500000275
SARAFAYA,12.786944,,22.346111,0222046,~300,,124713.0,NO DAMAGE,0.0,0.0,300.0,0.0,12.7869444444307,22.3461111115387
KOMA FORGI,12.796667,,22.318056,0221905,,2004/2005,124748.0,DESTROYED,0.0,2004.0,0.0,2005.0,12.7966666670332,22.3180555552199
KUJUNUNG KASAY,12.78,,22.287222,0221714,~450 of ~450,2004,124648.0,DESTROYED,450.0,2004.0,450.0,2004.0,12.7800000001001,22.2872222224278
DORTU,12.756667,,22.346111,0222046,,2004/2005,124524.0,DESTROYED,0.0,2004.0,0.0,2005.0,12.7566666669333,22.3461111115387
KONTY,12.965278,,22.375833,0222233,,2004,125755.0,DESTROYED,0.0,2004.0,0.0,2004.0,12.9652777776475,22.3758333337415
CONY,12.947778,,22.350833,0222103,~100 of ~100,2004,125652.0,DESTROYED,100.0,2004.0,100.0,2004.0,12.9477777782221,22.3508333328921
FRICKCICI,12.949722,,22.358611,0222131,,2004,125659.0,DESTROYED,0.0,2004.0,0.0,2004.0,12.949722222203,22.3586111115138
KONLALLA DONGY,12.932778,,22.343889,0222038,~150 of ~150,2004/2005,125558.0,DESTROYED,150.0,2004.0,150.0,2005.0,12.9327777780721,22.3438888885615
ULANG,12.881667,,22.348889,0222056,~400 of ~400,2004/2005,125254.0,DESTROYED,400.0,2004.0,400.0,2005.0,12.8816666666835,22.3488888889112
KABASKASHEFA,12.869444,,22.3575,0222127,~100 of ~100,2004/2005,125210.0,DESTROYED,100.0,2004.0,100.0,2005.0,12.8694444448054,22.3575000000251
KARSHA,12.385833,,22.442778,0222634,,2004,122309.0,DESTROYED,0.0,2004.0,0.0,2004.0,12.3858333337415,22.4427777777724
TANDOSA A,12.303611,,22.463611,0222749,,,121813.0,NO DAMAGE,0.0,0.0,0.0,0.0,12.3036111114638,22.4636111107643
TANDOSA B,12.292778,,22.448333,0222654,~50 of ~50,2003,121734.0,DESTROYED,50.0,2003.0,50.0,2003.0,12.2927777773727,22.4483333334168
REEDINA,12.298333,,22.498889,0222956,~25,,121754.0,NO DAMAGE,0.0,0.0,25.0,0.0,12.2983333330171,22.4988888886115
HYMAIDA,12.256667,,22.474167,0222827,~100,,121524.0,NO DAMAGE,0.0,0.0,100.0,0.0,12.2566666670332,22.4741666667584
,12.268056,,22.492778,0222934,~50,,121605.0,NO DAMAGE,0.0,0.0,50.0,0.0,12.2680555555197,22.4927777776725
DENGER,12.343889,,22.476667,0222836,~25 of ~25,2004,122038.0,DESTROYED,25.0,2004.0,25.0,2004.0,12.3438888887614,22.4766666669333
